HASC,ISO,FIPS,Administration Code,Province,Infected,Active,Recovered,Deaths,
VN.HI,HN,VM44,1,Ha Noi,688,442,245,0,
VN.HG,3,VM50,2,Ha Giang,3,2,1,0,
VN.CB,4,VM05,4,Cao Bang,0,0,0,0,
VN.BK,53,VM72,6,Bac Kan,0,0,0,0,
VN.TQ,7,VM68,8,Tuyen Quang,1,1,0,0,
VN.LO,2,VM90,10,Lao Cai,2,0,2,0,
VN.DB,71,VM92,11,Dien Bien,59,56,3,0,
VN.LI,1,VM89,12,Lai Chau,1,0,1,0,
VN.SL,5,VM32,14,Son La,1,1,0,0,
VN.YB,6,VM70,15,Yen Bai,5,5,0,0,
VN.HO,14,VM53,17,Hoa Binh,33,8,25,0,
VN.TY,69,VM85,19,Thai Nguyen,8,5,3,0,
VN.LS,9,VM39,20,Lang Son,79,75,4,0,
VN.QN,13,VM30,22,Quang Ninh,90,12,78,0,
VN.BG,54,VM71,24,Bac Giang,2480,2454,26,0,
VN.PT,68,VM83,25,Phu Tho,7,4,3,0,
VN.VC,70,VM86,26,Vinh Phuc,109,90,19,0,
VN.BN,56,VM74,27,Bac Ninh,912,888,23,1,
VN.HD,61,VM79,30,Hai Duong,811,57,754,0,
VN.HP,HP,VM13,31,Hai Phong,12,5,7,0,
VN.HY,66,VM81,33,Hung Yen,75,38,37,0,
VN.TB,20,VM35,34,Thai Binh,62,24,38,0,
VN.HM,63,VM80,35,Ha Nam,52,44,8,0,
VN.ND,67,VM82,36,Nam Dinh,25,7,18,0,
VN.NB,18,VM59,37,Ninh Binh,40,6,34,0,
VN.TH,21,VM34,38,Thanh Hoa,28,4,24,0,
VN.NA,22,VM58,40,Nghe An,5,5,0,0,
VN.HT,23,VM52,42,Ha Tinh,13,9,4,0,
VN.QB,24,VM62,44,Quang Binh,0,0,0,0,
VN.QT,25,VM64,45,Quang Tri,13,6,6,1,
VN.TT,26,VM66,46,Thua Thien Hue,6,4,2,0,
VN.DA,DN,VM78,48,Da Nang,654,202,418,31,
VN.QM,27,VM84,49,Quang Nam,125,17,105,3,
VN.QG,29,VM63,51,Quang Ngai,8,1,7,0,
VN.BD,31,VM46,52,Binh Dinh,1,0,1,0,
VN.PY,32,VM61,54,Phu Yen,28,2,26,0,
VN.KH,34,VM54,56,Khanh Hoa,143,54,89,0,
VN.NT,36,VM60,58,Ninh Thuan,12,4,8,0,
VN.BU,40,VM47,60,Binh Thuan,11,1,10,0,
VN.KT,28,VM55,62,Kon Tum,0,0,0,0,
VN.GL,30,VM49,64,Gia Lai,28,5,23,0,
VN.DC,33,VM88,66,Dak Lak,7,4,3,0,
VN.DO,72,VM91,67,Dak Nong,0,0,0,0,
VN.LD,35,VM23,68,Lam Dong,0,0,0,0,
VN.BP,58,VM76,70,Binh Phuoc,0,0,0,0,
VN.TN,37,VM33,72,Tay Ninh,40,7,33,0,
VN.BI,57,VM75,74,Binh Duong,48,4,44,0,
VN.DN,39,VM43,75,Dong Nai,31,9,22,0,
VN.BV,43,VM45,77,Ba Ria - Vung Tau,120,37,83,0,
VN.HC,SG,VM20,79,Ho Chi Minh,500,258,242,0,
VN.LA,41,VM24,80,Long An,18,12,6,0,
VN.TG,46,VM37,82,Tien Giang,10,6,4,0,
VN.BR,50,VM03,83,Ben Tre,20,18,2,0,
VN.TV,51,VM67,84,Tra Vinh,10,2,8,0,
VN.VL,49,VM69,86,Vinh Long,15,8,7,0,
VN.DT,45,VM09,87,Dong Thap,29,2,27,0,
VN.AG,44,VM01,89,An Giang,10,10,0,0,
VN.KG,47,VM21,91,Kien Giang,39,38,1,0,
VN.CN,CT,VM87,92,Can Tho,34,24,10,0,
VN.HU,73,VM93,93,Hau Giang,0,0,0,0,
VN.ST,52,VM65,94,Soc Trang,19,19,0,0,
VN.BL,55,VM73,95,Bac Lieu,53,1,52,0,
VN.CM,59,VM77,96,Ca Mau,8,4,4,0,
